시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
금천한내어르신복지센터,서울특별시 금천구 한내로 69-15(독산동),서울특별시 금천구 독산동 1088-1,금천한내어르신복지센터,02-897-5104,금천한내어르신복지센터 4층,저소득 어르신,중식(11:00-12:10),월+화+수+목+금+토,,,37.4573875,126.8865394,2023-09-06,3170000,서울특별시 금천구
금천호암노인종합복지관,서울특별시 금천구 독산로72길 86-5(독산동),서울특별시 금천구 독산동 917,금천호암노인종합복지관,02-853-7203,금천호암노인종합복지관 2층,저소득 어르신,중식(11:30-13:00),월+화+수+목+금+토,,,37.46951291,126.9064763,2023-09-06,3170000,서울특별시 금천구
살구여성회,서울특별시 금천구 시흥대로148길 27(독산동),서울특별시 금천구 독산동 969-6,살구여성회,02-895-5973,살구여성회 따뜻한밥집,저소득 어르신,중식(11:00-12:30),월+화+수+목+금+토,,,37.4751323,126.9002445,2023-09-06,3170000,서울특별시 금천구
주님앞에제일교회,서울특별시 금천구 탑골로2길 56(시흥동),서울특별시 금천구 시흥동 264-1,주님앞에제일교회,02-896-2031,주님앞에제일교회 2층,저소득 어르신,중식(11:50-12:40),화+수+목+금+토+일,,,37.4504161,126.9131787,2023-09-06,3170000,서울특별시 금천구
청담종합사회복지관,서울특별시 금천구 금하로29길 26(시흥동),서울특별시 금천구 시흥동 241-7,청담종합사회복지관,02-806-1377,청담종합사회복지관 1층,저소득 어르신,중식(11:30-12:30),월+화+수+목+금+토,,,37.45113975,126.9129242,2023-09-06,3170000,서울특별시 금천구
학산종합사회복지관,대구광역시 달서구 월성로 77(월성동),대구광역시 달서구 월성동 86,학산종합사회복지관,053-634-7230,학산종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금,,,35.83004104,128.5283373,2022-02-28,6270000,대구광역시
본동종합사회복지관,대구광역시 달서구 송현로 113(송현동),대구광역시 달서구 송현동 977-2,본동종합사회복지관,053-636-5567,본동종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금,,,35.82712797,128.5433262,2022-02-28,6270000,대구광역시
상인종합사회복지관,대구광역시 달서구 상화로 371(상인동),대구광역시 달서구 상인동 1563,상인종합사회복지관,053-641-1100,상인종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금,,,35.80867638,128.5522443,2022-02-28,6270000,대구광역시
성서종합사회복지관,대구광역시 달서구 신당로 56(신당동),대구광역시 달서구 신당동 1844,성서종합사회복지관,053-583-1284,성서종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금,,,35.85229857,128.4988203,2022-02-28,6270000,대구광역시
월곡종합사회복지관,서울특별시 성북구 오패산로16길 23,서울특별시 성북구 하월곡동 222-5,월곡종합사회복지관,02-911-5511,경로식당,60세이상 저소득어르신,11:20~13:00,월+화+수+목+금,2023-01-01,2023-12-31,37.6089065,127.0375144,2023-03-07,3070000,서울특별시 성북구
성북장애인단체연합회,서울특별시 성북구 오패산로3길 95,서울특별시 성북구 하월곡동 70-123,성북장애인단체연합회,02-942-7976,관내식당,성북구 거주 저소득 장애인,11:30~13:00,월+화+수+목+금,2023-01-01,2023-12-31,37.607206,127.033991,2023-03-07,3070000,서울특별시 성북구
서울시특별시지체장애인협회 성북구지회,서울특별시 성북구 화랑로13길 100,서울특별시 성북구 하월곡동 산2-1,서울시특별시지체장애인협회 성북구지회,02-914-2070,관내식당,성북구 거주 저소득 장애인,11:30~13:00,월+화+수+목+금,2023-01-01,2023-12-31,37.6108706217,127.0406997992,2023-03-07,3070000,서울특별시 성북구
성북장애인자립생활센터,서울특별시 성북구 보문로 134,서울특별시 성북구 보문동1가 37,성북장애인자립생활센터,02-921-7232,관내식당,성북구 거주 저소득 장애인,11:30~13:00,월+화+수+목+금,2023-01-01,2023-12-31,37.586908,127.0187924341,2023-03-07,3070000,서울특별시 성북구
한국교통장애인협회 성북구지회,서울특별시 성북구 동소문로 185,서울특별시 성북구 돈암동 48-24,한국교통장애인협회 성북구지회,,관내식당,성북구 거주 저소득 장애인,11:30~13:00,월+화+수+목+금,2023-01-01,2023-12-31,37.5986141936,127.0215209034,2023-03-07,3070000,서울특별시 성북구
등촌1종합사회복지관,서울특별시 강서구 강서로68길 36,서울특별시 강서구 등촌동 687,등촌1종합사회복지관,02-2658-1010,등촌1종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:10-12:30),월+화+수+목+금+토,1994-10-21,,37.56538547,126.8422562,2023-03-03,3150000,서울특별시 강서구
등촌4종합사회복지관,서울특별시 강서구 공항대로39길 59,서울특별시 강서구 등촌동 690,등촌4종합사회복지관,02-2658-8800,등촌4종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:15-12:15),월+화+수+목+금+토,1995-06-08,,37.56225807,126.8428966,2023-03-03,3150000,서울특별시 강서구
등촌7종합사회복지관,서울특별시 강서구 공항대로43길 104,서울특별시 강서구 등촌3동 707,등촌7종합사회복지관,02-2658-6521,등촌7종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:20-12:00),월+화+수+목+금+토,1995-05-22,,37.5602393269,126.8516941745,2023-03-03,3150000,서울특별시 강서구
등촌9종합사회복지관,서울특별시 강서구 화곡로63가길 92,서울특별시 강서구 등촌3동 704,등촌9종합사회복지관,02-2658-4127,등촌9종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:00-12:00),월+화+수+목+금+토,1994-11-02,,37.56195043,126.8502089,2023-03-03,3150000,서울특별시 강서구
중구노인복지관,인천광역시 중구 제물량로80번길 3-24,인천광역시 중구 신흥동2가 23,중구노인복지관,032-761-3563,복지관 지하1층 경로식당,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 노인분 중 기초수급자+차상위계층+저소득 독거노인 중에서 시설에서 대상자 상담을 통해 지정된 분에 한해서(이용권발급) 무료급식지원,중식(11:20-12:10),월+화+수+목+금,1997-02-01,,37.46781706,126.6338605,2023-05-10,3490000,인천광역시 중구
성.미가엘종합사회복지관,인천광역시 중구 송학로 40,인천광역시 중구 내동 3-5,성.미가엘종합사회복지관,032-766-0981,복지관 지하1층 경로식당,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 노인분 중 기초수급자+차상위계층+저소득 독거노인 중에서 시설에서 대상자 상담을 통해 지정된 분에 한해서(이용권발급) 무료급식지원,중식(11:20-12:00),월+화+수+목+금,1996-07-01,,37.47444945,126.6272621,2023-05-10,3490000,인천광역시 중구
김포시북부노인복지관,경기도 김포시 통진읍 마송1로16번길 40-2,경기도 김포시 통진읍 마송리 565-9,김포시북부노인복지관,031-984-0108,김포시북부노인복지관,만60세 이상 기초수급자 및 차상위계층 등,11:30~13:00,월+화+수+목+금,2014-10-01,,37.68372495,126.6068832,2023-05-11,4090000,경기도 김포시
김포시노인종합복지관,경기도 김포시 사우중로74번길 48,경기도 김포시 사우동 865,김포시노인종합복지관,031-997-9300,김포시노인종합복지관,만60세 이상 기초수급자 및 차상위계층 등,11:30~13:00,월+화+수+목+금,2019-07-01,,37.6222877,126.7226134,2023-05-11,4090000,경기도 김포시
파주시노인복지관,경기도 파주시 가나무로 130,경기도 파주시 금릉동 428,해피월드복지재단,031-943-0731,경로식당,65세 이상 노인,11:30-13:00,월+화+수+목+금+토,2005-03-04,,37.75383902,126.7798135,2023-05-10,4060000,경기도 파주시
파주시문산종합사회복지관,경기도 파주시 문산읍 통일로 1680,경기도 파주시 문산읍 선유리 1402,해피월드복지재단,031-934-2000,경로식당,65세 이상 노인,12:00-13:00,월+화+수+목+금,2011-06-11,,37.85675241,126.7910164,2023-05-10,4060000,경기도 파주시
북가좌2동노인복지센터,서울특별시 서대문구 증가로20길 43 (북가좌동),서울특별시 서대문구 북가좌동 5-106,북가좌2동노인복지센터,,북가좌2동노인복지센터,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토),,,37.5812041325,126.9179051009,2022-08-01,3120000,서울특별시 서대문구
효림재가노인지원센터,서울특별시 서대문구 경기대로9길 62 (충정로3가),서울특별시 서대문구 충정로3가 1-38,효림재가노인지원센터,,효림재가노인지원센터,저소득어르신,10:30~12:00,밑반찬배달(화+금),2006-10-02,,37.5643289422,126.9608681,2022-08-01,3120000,서울특별시 서대문구
인왕어르신복지센터,서울특별시 서대문구 통일로26길 12-5 (홍제동),서울특별시 서대문구 홍제동 23-21,인왕어르신복지센터,,인왕어르신복지센터,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토)+밑반찬배달(화+목),2015-01-19,,37.5827951460,126.9506698464,2022-08-01,3120000,서울특별시 서대문구
드림지역아동센터,경기도 안산시 상록구 영화6길 17-1(사동) 2층,"경기도 안산시 상록구 사동 1470-14, 2층",드림지역아동센터,031-407-1118,드림지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.2806152,126.8514011,2022-12-12,3930000,경기도 안산시
안산중부지역아동센터,"경기도 안산시 상록구 부곡로 148, 2층3층(부곡동)","경기도 안산시 상록구 부곡동 644-10, 3층",안산중부지역아동센터,031-406-7533,안산중부지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.33472882,126.8647098,2022-12-12,3930000,경기도 안산시
행복한아이들지역아동센터,경기도 안산시 상록구 정동길 39(팔곡일동) 2층,"경기도 안산시 상록구 팔곡일동 603-4, 2층 서머힐어린이집",행복한아이들지역아동센터,031-503-1012,행복한아이들지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.29993933,126.8864625,2022-12-12,3930000,경기도 안산시
굿하우스지역아동센터,"경기도 안산시 상록구 원당골5길 16-2, 1층(수암동)","경기도 안산시 상록구 수암동 484-1, 수암제일교회",굿하우스지역아동센터,031-487-0365,굿하우스지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.36352734,126.8815344,2022-12-12,3930000,경기도 안산시
물댄동산안산지역아동센터,"경기도 안산시 상록구 삼태기2길 4-16, 3층",경기도 안산시 상록구 이동 685-4,물댄동산안산지역아동센터,070-7835-4720,물댄동산안산지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.3075571,126.8444332,2022-12-12,3930000,경기도 안산시
드림아이지역아동센터,경기도 안산시 상록구 세류로 16(본오동),"경기도 안산시 상록구 본오동 988 , 상록수순복음교회",드림아이지역아동센터,031-416-9191,드림아이지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.28531962,126.8615421,2022-12-12,3930000,경기도 안산시
상록지역아동센터,경기도 안산시 상록구 서암로1길 16(사동) 2층,"경기도 안산시 상록구 사동 1190-6, 2층",상록지역아동센터,031-419-1733,상록지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.30210561,126.8480427,2022-12-12,3930000,경기도 안산시
스스로함께지역아동센터,경기도 안산시 상록구 성호로 344(부곡동) 301호,"경기도 안산시 상록구 부곡동 664-9, 301호","지역아동센터스스로,함께",031-416-9928,"지역아동센터스스로,함께",결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.3332472,126.8619246,2022-12-12,3930000,경기도 안산시
한샘지역아동센터,경기도 안산시 상록구 시곡1길 21(사동) 2층,"경기도 안산시 상록구 사동 1336-6, 2층",한샘지역아동센터,031-409-6403,한샘지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.2948147,126.8570225,2022-12-12,3930000,경기도 안산시
해피클래스지역아동센터,경기도 안산시 상록구 샘골로5길 4(본오동),경기도 안산시 상록구 본오동 671-2,해피클래스지역아동센터,031-407-7039,해피클래스지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.2873059,126.8643063,2022-12-12,3930000,경기도 안산시
희망아카데미지역아동센터,"경기도 안산시 상록구 초당로 30, 2층(사동)",경기도 안산시 상록구 사동 1410-4,희망아카데미지역아동센터,070-7520-2644,희망아카데미지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.28473519,126.8507113,2022-12-12,3930000,경기도 안산시
우리중앙홈스쿨지역아동센터,"경기도 안산시 상록구 용신로 282, 3층",경기도 안산시 상록구 사동 1209-7,우리중앙홈스쿨지역아동센터,031-416-8263,우리중앙홈스쿨지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,,,37.3029157,126.8537134,2022-12-12,3930000,경기도 안산시
선부 지역아동센터,"경기도 안산시 단원구 화정로 9, 선부사회복지관 2층","경기도 안산시 단원구 선부동 1079, 선부사회복지관2층",선부,070-5118-4384,선부 지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,2006-01-07,,37.3338588,126.8136536,2022-12-12,3930000,경기도 안산시
무지개 지역아동센터,"경기도 안산시 단원구 선이로 14, 제일종합시장 3015호","경기도 안산시 단원구 선부동 1028, 제일종합시장 3015호",무지개,031-483-8291,무지개 지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,2004-11-01,,37.34235596,126.8036317,2022-12-12,3930000,경기도 안산시
푸른 지역아동센터,경기도 안산시 단원구 지곡로2길 10,경기도 안산시 단원구 선부동 972-5,푸른,031-480-2225,푸른 지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,2000-01-01,,37.3369365,126.8028062,2022-12-12,3930000,경기도 안산시
하늘꿈 지역아동센터,"경기도 안산시 단원구 석수로4길 23, 2층","경기도 안산시 단원구 선부동 1032-3, 2층",하늘꿈,031-483-8295,하늘꿈 지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,2007-12-10,,37.34150275,126.8052362,2022-12-12,3930000,경기도 안산시
관악노인종합복지관,서울특별시 관악구 보라매로 35(관악노인종합복지관),서울특별시 관악구 봉천동 726-3,관악노인종합복지관,02-888-6144,관악노인종합복지관,만 60세 이상 저소득 어르신,평일중식(11:20-12:40)+토요일중식(11:10-12:10),월+화+수+목+금+토,,2023-10-11,37.49304069,126.9263301,2023-10-11,3200000,서울특별시 관악구
서울YWCA봉천종합사회복지관,서울특별시 관악구 관악로 254(청림동 서울YWCA봉천종합사회복지관),서울특별시 관악구 봉천동 37,서울YWCA봉천종합사회복지관,02-870-4457,서울YWCA봉천종합사회복지관,만 60세 이상 저소득 어르신,중식(11:00-12:00),월+화+수+목+금+토,1993-02-01,2023-10-11,37.48668511,126.9575761,2023-10-11,3200000,서울특별시 관악구
선의관악종합사회복지관,,서울특별시 관악구 봉천동 1699-6,선의관악종합사회복지관,02-886-9941,선의관악종합사회복지관,만 60세 이상 저소득 어르신,중식(11:30-12:30),월+화+수+목+금+토,,2023-10-11,37.491563,126.945564,2023-10-11,3200000,서울특별시 관악구
성민종합사회복지관,서울특별시 관악구 호암로 549,서울특별시 관악구 신림동 300-4,성민종합사회복지관,02-876-0900,성민종합사회복지관,만 60세 이상 저소득 어르신,중식(11:15-12:00),월+화+수+목+금+토,1996-10-24,2023-10-11,37.46678996,126.9312404,2023-10-11,3200000,서울특별시 관악구
신림종합사회복지관,서울특별시 관악구 난곡로 110,서울특별시 관악구 신림동 664,신림종합사회복지관,02-851-1767,신림종합사회복지관 4층 밥내음식당,만 60세 이상 저소득 어르신,중식(11:00-12:00),월+화+수+목+금+토,1999-06-01,2023-10-11,37.464815,126.919828,2023-10-11,3200000,서울특별시 관악구
중앙사회복지관,서울특별시 관악구 봉천로 41길 33(중앙동 중앙사회복지관),서울특별시 관악구 봉천동 890-7,중앙사회복지관,02-872-5802,중앙사회복지관,만 60세 이상 저소득 어르신,중식(11:00-13:00),월+화+수+목+금+토,2009-05-18,2023-10-11,37.48436167,126.9480697,2023-10-11,3200000,서울특별시 관악구
웅상노인복지관,경상남도 양산시 삼호9길 11,경상남도 양산시 삼호동 783-10,웅상노인복지관,055-366-3388,웅상노인복지관,만 60세이상 기초생활수급+차상위계층 노인+ 기타 시장이 인정하는 자,12:00~13:00,월+화+수+목+금,2012-01-01,,35.4143864,129.1719179,2023-10-04,5380000,경상남도 양산시
양산시노인복지관,경상남도 양산시 북안남5길 27,경상남도 양산시 북부동 327-4,양산시노인복지관,055-367-9790,양산시노인복지관,만 65세이상 기초생활수급+차상위계층 노인+ 기타 시장이 인정하는 자,중식(11:30~12:30),월+화+수+목+금,2015-04-01,,35.3459908,129.0411903,2023-10-04,5380000,경상남도 양산시
평산교회,경상남도 양산시 평산중앙로 57,경상남도 양산시 평산동 50,평산교회,055-366-2033,평산교회,만 60세이상 기초생활수급+차상위계층 노인+ 기타 시장이 인정하는 자,12:00~13:00,목,2015-04-01,,35.38466977,129.1514093,2023-10-04,5380000,경상남도 양산시
요셉의원,서울특별시 영등포구 경인로100길 6,서울특별시 영등포구 영등포동 423-57,서울카톨릭사회복지회,02-2634-1760,코로나 이후 중지,노숙인,코로나 이후 중지,코로나 이후 중지,2002-06-01,,37.515306,126.9050411,2023-10-04,3180000,서울특별시 영등포구
영광교회,서울특별시 영등포구 신길로 234,서울특별시 영등포구 신길동 190-101,영광교회,,실외(코로나19예방),노숙인,12:00(중식),간편식(수)+중식(일),1999-06-01,,37.512828,126.910704,2023-10-04,3180000,서울특별시 영등포구
한국기독교복지협회,서울특별시 영등포구 신길로 245,서울특별시 영등포구 영등포동 602-5,밥사랑열린공동체,,실외(코로나19예방),노숙인,11:00(중식)+20:30(석식),(중식+석식)(월+화+수+목+금+토+일),2001-12-01,,37.51379932,126.910905,2023-10-04,3180000,서울특별시 영등포구
광야교회,서울특별시 영등포구 경인로100길 3,서울특별시 영등포구 영등포동 423-37,광야교회,02-2636-3373,실외(코로나19예방),노숙인,11:30(중식)+17:00(석식),(중식+석식)(월+화+수+목+금+토+일),1988-04-01,,37.515416,126.9052536,2023-10-04,3180000,서울특별시 영등포구
토마스의집,서울특별시 영등포구 경인로 828-1,서울특별시 영등포구 영등포동 423-113,토마스의집,02-2672-1004,실외(코로나19예방),노숙인,11:00~12:30,중식(월+화+수+금+토),1986-05-01,,37.515611,126.9050503,2023-10-04,3180000,서울특별시 영등포구
이천시청미노인복지관,경기도 이천시 장호원읍 서동대로8965번길 57,경기도 이천시 장호원읍 오남리 14-1번지,이천시청미노인복지관,031-641-4260,이천시청미노인복지관 경로식당,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(11:30~12:30),월+화+수+목+금,2014-10-22,,37.1156648,127.6295069,2023-09-27,4070000,경기도 이천시
이천선린교회,경기도 이천시 경충대로2652번길 1,경기도 이천시 중리동 445-9번지,이천선린교회,031-636-0480,이천선린교회 좋은이웃 복지센터 경로식당,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(11:50~12:30),월+화+수+목+금,2007-03-20,,37.2762536,127.4380392,2023-09-27,4070000,경기도 이천시
이천시노인종합복지관,경기도 이천시 남천로 31,경기도 이천시 중리동 187번지,이천시노인종합복지관,031-636-0190,이천시노인종합복지관 경로식당,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(11:20~12:00),월+화+수+목+금,2014-10-22,,37.2782608,127.4410593,2023-09-27,4070000,경기도 이천시
이천시남부노인복지관,경기도 이천시 율면 금율로 1084,경기도 이천시 율면 고당리 374,이천시남부노인복지관,031-8011-0610,이천시남부노인복지관 경로식당,"부득이하게 식사를 거르는 60세이상 저소득(기초수급자,차상위)노인 원칙",중식(12:00~13:00),월+화+수+목+금,2023-04-24,,37.0965007192,127.5453755910,2023-09-27,4070000,경기도 이천시
사단법인 사랑해밥차,대구광역시 달서구 대명천로 28,대구광역시 달서구 성당동 202-41,(사)사랑해밥차,053-628-0828,두류공원 외,노인 및 취약계층,11:00~12:00,화+목,,,35.83907399,128.5561701,2023-09-26,3470000,대구광역시 달서구
어울림자원봉사센터,대구광역시 달서구 와룡로2길 42(본동),대구광역시 달서구 본동 1094-1,어울림나눔터,053-628-8204,어울림나눔터,노인 및 취약계층,11:30~12:30,수+토,,,35.83391987,128.5400734,2023-09-26,3470000,대구광역시 달서구
우리집나눔센터,대구광역시 달서구 월곡로26길 15-4(상인동),대구광역시 달서구 상인동 1202-1,나눔공동체우리집,053-631-0691,나눔공동체 우리집 내 식당,노인 및 취약계층,10:30~13:00,월+화+수+금+토+일,,,35.80882042,128.549408,2023-09-26,3470000,대구광역시 달서구
해밀사회봉사단,대구광역시 달서구 두류남길 56(두류동),대구광역시 달서구 두류동 804-88,해밀사회봉사단,,해밀무료급식소,노인 및 취약계층,11:30~13:00,수+토,,,35.85728091,128.5714772,2023-09-26,3470000,대구광역시 달서구
월성종합사회복지관,대구광역시 달서구 학산로7길 39(월성동),대구광역시 달서구 월성동 273,월성종합사회복지관,053-634-4113,월성종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금,,,35.83157686,128.5298747,2023-09-26,3470000,대구광역시 달서구
선부어울 지역아동센터,"경기도 안산시 단원구 선부광장서로1길 10, 202호","경기도 안산시 단원구 선부동 964-2, 202호",선부어울,031-401-4667,선부어울 지역아동센터,결식아동,중식(12:00-13:00)+석식(17:00-18:00),월+화+수+목+금+토,2007-01-01,,37.3340767,126.8032696,2022-12-12,3930000,경기도 안산시
청양감리교회,충청남도 청양군 청양읍 중앙로 12길 43,충청남도 청양군 청양읍 읍내리 29-4,청양감리교회,,청양감리교회,결식노인,중식(12:00-13:00),일,,,36.45296819,126.8078262,2022-11-30,4590000,충청남도 청양군
참봉사동심원,충청남도 청양군 청양읍 중앙로 18길 32,충청남도 청양군 청양읍 읍내리 280-5,참봉사동심원,,참봉사동심원,결식노인,중식(12:00-13:00),토,,,36.45688307,126.8054066,2022-11-30,4590000,충청남도 청양군
나누리봉사회,충청남도 청양군 청양읍 칠갑산로 221,충청남도 청양군 청양읍 읍내리 191-5,나누리봉사회,,나누리봉사회,결식노인,중식(12:00-13:00),토,,,36.45158583,126.8011283,2022-11-30,4590000,충청남도 청양군
