fmcName,fmcAddress,phoneNumber,place,target,mealTime,days
강동종합사회복지관,서울특별시 강동구 진황도로23길 7,02-0475-4585,강동종합사회복지관,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금
명성복지재단 가나안의 집,서울특별시 강동구 천중로35길 73-7,02-0474-6900,명성복지재단 가나안의 집,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금
해공노인복지관,서울특별시 강동구 천중로17길 42-16,02-0478-0601,해공노인복지관,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금
삼양동종합복지센터,서울특별시 강북구 삼양로 47길 9,02-945-1305,삼양동종합복지센터,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:30),월+화+수+목+금+토
운가자비원,서울특별시 강북구 삼양로 112길 5,02-903-6940,운가자비원,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:10),월+화+수+목+금+토
서울특별시농아인협회강북구지부,서울특별시 강북구 한천로 131길 7,02-990-0872,서울특별시농아인협회강북구지부,기초생활수급자+차상위 계층+저소득 독거어르신,중식(12:00-13:00),월+화+수+목+금+토
e한우리 봉사회,서울특별시 강북구 한천로 150길 12,02-991-7909,e한우리 봉사회,기초생활수급자+차상위 계층+저소득 독거어르신,중식(12:00-13:00),월+화+수+목+금+토
신사노인복지관,서울특별시 은평구 증산로15길47,02-302-0303,신사노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
불광노인복지관,서울특별시 은평구 연서로32길17-11,02-385-3222,불광노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
대조노인복지관,서울특별시 은평구 역말로9길 27,02-6951-1172,대조노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
신사종합사회복지관,서울특별시 은평구 은평로38,02-376-4141,신사종합사회복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
녹번종합사회복지관,서울특별시 은평구 은평로21길14-26,02-388-6341,녹번종합사회복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
은평종합사회복지관,서울특별시 은평구 은평터널로48,02-307-1181,은평종합사회복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
다시서기종합지원센터,서울특별시 용산구 한강대로 92길 6,02-777-5217,다시서기종합지원센터,노숙인,석식(18:30-19:30),월+화+수+목+금+토+일
따스한채움터,서울특별시 용산구 한강대로 377,02-1666-7995,따스한 채움터,노숙인+주거취약계층,조식(08:00-10:00)+중식(12:00-14:00)+석식(17:00-19:00),월+화+수+목+금+토+일
인정만나샘,서울특별시 용산구 후암로 57길 45,02-757-7595,인정만나샘,노숙인,중식(12:00-13:00)+석식(18:00-19:00),중식(월+화+수+목+금)+석식(월+화+수+목+금+토+일)
대청종합사회복지관,서울특별시 강남구 양재대로55길 10,02-459-6332,대청종합사회복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:00~12:00),월+화+수+목+금
수서종합사회복지관,서울특별시 강남구 광평로56길 11,02-451-7244,수서종합사회복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금
서초구립 양재노인종합복지관,서울특별시 서초구 강남대로30길 73-7,02-578-1515,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금
방배노인종합복지관,서울특별시 서초구 방배천로 48,02-581-7992,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금
서초구립 중앙노인종합복지관,서울특별시 서초구 서초대로54길 45,02-3474-6080,2층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금
서초구립 양재종합사회복지관,서울특별시 서초구 남부순환로 2610,02-579-4782,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금
우면종합사회복지관,서울특별시 서초구 바우뫼로7길 11,02-577-6321,2층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금
서대문종합사회복지관,서울특별시 서대문구 모래내로 177 (남가좌동),,서대문종합사회복지관,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토)+식사배달(월+화+수+목+금+토+일)+밑반찬배달(화+목)
홍은종합사회복지관,서울특별시 서대문구 세검정로1길 116 (홍은동),,홍은종합사회복지관,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토)+식사배달(월+화+수+목+금+토+일)+밑반찬배달(월+목)
이대종합사회복지관,서울특별시 서대문구 북아현로4마길 26-24 (북아현동),,대상자 가정(배달),저소득어르신,10:30~12:00,식사배달(월+화+수+목+금+토+일)+밑반찬배달(월+목)
연희노인여가복지시설,서울특별시 서대문구 홍제천로2길 111 (연희동),,연희노인여가복지시설,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토)+식사배달(월+화+수+목+금+토+일)
강동노인종합복지관,서울특별시 강동구 동남로71길 32-5,02-0442-1026,강동노인종합복지관,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금
은평노인종합복지관,서울특별시 은평구 연서로 415,02-385-1351,은평노인종합복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
역촌노인복지관,서울특별시 은평구 연서로3나길11-30,02-385-9500,역촌노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
갈현노인복지관,서울특별시 은평구 통일로89길12-6,02-357-2640,갈현노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
응암노인복지관,서울특별시 은평구 응암로21가길5-1,02-355-2997,응암노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토
서대문노인종합복지관,서울특별시 서대문구 독립문로8길 57 (천연동),,서대문노인종합복지관,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토)+식사배달(월+화+수+목+금+토+일)+밑반찬배달(화+금)
참좋은친구들,서울특별시 중구 청파로427,02-754-0031,서울특별시 중구 청파로427 (1층식당),노숙인,중식(11:00~12:00)+석식(18:00~19:00),화+수+목+금+일
소중한사람들,서울특별시 중구 중림로 8길 12,02-365-9106,서울특별시 중구 중림로 8길 12 (지하식당),노숙인,중식(11:30~12:30),월+화+수+목+금+토+일
성북노인종합복지관,서울특별시 성북구 종암로15길 10,02-929-7950,경로식당,60세이상 저소득어르신,11:30~13:00,월+화+수+목+금
동서울 중앙교회,서울특별시 중랑구 면목로 29길 37,02-494-7110,동서울 중앙교회,만 60세 이상 결식 우려 저소득 어르신,중식(11:30-12:30),월+화+수+목+금+토
사랑의 집,서울특별시 중랑구 송림길 91,02-495-2517,사랑의 집,만 60세 이상 결식 우려 저소득 어르신,중식(12:00-13:00),월+화+수+목+금
나눔의 집,서울특별시 중랑구 용마공원로 5가길 69-6,02-434-9345,나눔의 집,만 60세 이상 결식 우려 저소득 어르신,중식(12:00-13:00),월+화+수+목+금
구립중화경로복지관,서울특별시 중랑구 동일로 138길 28,02-436-1390,구립중화경로복지관,만 60세 이상 결식 우려 저소득 어르신,중식(11:00-12:00),월+화+수+목+금
구립신내노인종합복지관,서울특별시 중랑구 신내로 15길 175,02-3421-4800,구립신내노인종합복지관,만 60세 이상 결식 우려 저소득 어르신,중식(11:30-13:00),월+화+수+목+금+토
유린원광종합사회복지관,서울특별시 중랑구 신내로 56,02-438-4011,유린원광종합사회복지관,만 60세 이상 결식 우려 저소득 어르신,중식(11:30-12:30),월+화+수+목+금
신내종합사회복지관,서울특별시 중랑구 봉화산로 153,02-3421-3400,신내종합사회복지관,만 60세 이상 결식 우려 저소득 어르신,중식(12:00-13:00),월+화+수+목+금
대치1단지(일원2) 경로당,서울특별시 강남구 개포로109길 5,02-565-3857,대치1단지(개포3) 경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금
대청경로당,서울특별시 강남구 개포로124길 24,02-565-3857,대청경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금
세곡리엔파크4단지 경로당,서울특별시 강남구 헌릉로590길 88,02-565-3857,세곡리엔파크4단지 경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금
강남노인종합복지관,서울특별시 강남구 삼성로 628,02-549-7070,강남노인종합복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~13:00),월+화+수+목+금
개포경로당,서울특별시 강남구 선릉로12길 12,02-565-3857,개포경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금
